Category,Subcategory,Items
AI Concepts,Machine Learning Fundamentals,"Parameter, Hyperparameter, Loss functions, Regression, Bias–variance tradeoff, Double descent, Overfitting"
AI Concepts,Optimization,"Gradient descent, SGD, Quasi-Newton method, Conjugate gradient method, Backpropagation"
AI Concepts,Neural Network Components,"Attention, Convolution, Normalization, Batchnorm, Activation, Softmax, Sigmoid, Rectifier, Gating"
AI Concepts,Training & Data,"Weight initialization, Regularization, Datasets, Augmentation, Prompt engineering"
AI Concepts,Reinforcement Learning,"Q-learning, SARSA, Imitation, Policy gradient"
AI Concepts,Advanced Techniques,"Diffusion, Latent diffusion model, Autoregression, Adversary, RAG, RLHF, Self-supervised learning"
AI Concepts,Emerging Concepts,"Reflection, Recursive self-improvement, Hallucination, Word embedding, Vibe coding"
Applications,Core Applications,"Machine learning, In-context learning, Artificial neural network, Deep learning"
Applications,Language Technologies,"Language model, Large language model, NMT, Reasoning language model"
Applications,Agent Systems,"Intelligent agent, Artificial human companion, Model Context Protocol"
Applications,Advanced Goals,"Humanity's Last Exam, Artificial general intelligence (AGI)"
Audio-Visual AI,Computer Vision,"AlexNet, Computer vision, Facial recognition, AlphaFold, OCR, HWR"
Audio-Visual AI,Speech Technology,"WaveNet, Speech synthesis, 15.ai, ElevenLabs, Speech recognition, Whisper"
Audio-Visual AI,Image Generation,"Human image synthesis, Aurora, DALL-E, Firefly, Flux, Ideogram, Imagen, Midjourney, Recraft, Stable Diffusion"
Audio-Visual AI,Video Generation,"Dream Machine, Runway Gen, Hailuo AI, Kling, Sora, Veo"
Audio-Visual AI,Music Generation,"Riffusion, Suno AI, Udio"
Text AI,Word Embeddings,"Word2vec, Seq2seq, GloVe"
Text AI,Foundation Models,"BERT, T5, Llama, Chinchilla AI, PaLM"
Text AI,GPT Family,"GPT-1, GPT-2, GPT-3, GPT-J, ChatGPT, GPT-4, GPT-4o, o1, o3, GPT-4.5, GPT-4.1, o4-mini"
Text AI,Commercial Models,"Claude, Gemini, Grok, LaMDA"
Text AI,Open Source Models,"BLOOM, DBRX"
Text AI,Enterprise Systems,"Project Debater, IBM Watson, IBM Watsonx, Granite"
Text AI,International Models,"PanGu-Σ, DeepSeek, Qwen"
Decisional AI,Game Playing,"AlphaGo, AlphaZero, OpenAI Five, MuZero"
Decisional AI,Real-world Applications,"Self-driving car, Robot control"
Decisional AI,Agent Frameworks,"Action selection, AutoGPT"
Architectures,Memory Systems,"Neural Turing machine, Differentiable neural computer"
Architectures,Attention-based,"Transformer, Vision transformer (ViT)"
Architectures,Recurrent Networks,"Recurrent neural network (RNN), Long short-term memory (LSTM), Gated recurrent unit (GRU)"
Architectures,Feedforward Networks,"Multilayer perceptron (MLP), Convolutional neural network (CNN)"
Architectures,Advanced Architectures,"Residual neural network, Highway network, Mamba"
Architectures,Generative Models,"Autoencoder, Variational autoencoder (VAE), Generative adversarial network (GAN)"
Architectures,Graph Networks,"Graph neural network (GNN)"
Architectures,State Space Models,"Echo state network"
